Text,Translation,Language,Category
What is the name of the place you live in?,আপনি সিঙ্গাপুরে যে জায়গাতে থাকেন তার নাম কি?,Bengali,Contact with Others
Is it a cluster?,আপনার কি কোনো বন্ধু ওখানে থাকেন যার কোভিড সংক্রমণ হয়েছে?,Bengali,Contact with Others
How many people are staying in the same room as you?,আপনারা কতজন মিলে এক রুমে থাকেন?,Bengali,Contact with Others
"In the last 14 days, did you meet anyone who has coronavirus?","গত ১৪ দিনে, আপনি কি কারোর সাথে দেখা করেছেন যার কারোনাভাইরাস আছে?",Bengali,Contact with Others
Who? What is your relationship with them?,কে? আপনাদের কি সম্পর্ক?,Bengali,Contact with Others
How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),কত দিন আগে দেখা হয়েছে?,Bengali,Contact with Others
How long were you with him/her?,আপনাদের দেখাসাক্ষাত কতক্ষন ধরে ছিল?,Bengali,Contact with Others
"In the last 14 days, did you travel out of Singapore? If yes, tell us the countries in English.","গত ১৪ দিনে, আপনি কি সিঙ্গাপুরের বাইরে ভ্রমণ করেছেন? হয়ে থাকলে আমাকে ইংরেজীতে দেশগুলি বলেন।",Bengali,Contact with Others
I am a doctor. I do not speak Bengali. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,আমি ডাক্তার। আমি বাংলা বলতে পারি না। আমি আপনার সাথে এই ওয়েবসাইটের মাধ্যমে কথা বলব। যত সম্ভব তত আমাকে ইংরেজীতে উত্তর দেন।​ ধন্যবাদ।,Bengali,Greetings
What's your name?,আপনার নাম কি ?,Bengali,Greetings
Please give me your Work Permit,আমাকে আপনার ওয়ার্ক পারমিট দেন।,Bengali,Greetings
Which company are you employed under?,আপনি কোন কোমপানিতে কাজ করেন?,Bengali,Greetings
What is your supervisor’s name and contact number?,আপনার সুপারভাইজারের নাম এবং ফোন নাম্বার কি?,Bengali,Greetings
Thank you,"ধন্যবাদ, dhonnobad",Bengali,Greetings
Point to the place.,আঙ্গুল দিয়ে দেখান কোথায়।,Bengali,Medical Conditions
Do you have any past medical history?,আপনার কি আগের থেকে কোনো শারীরিক সমস্যা আছে?,Bengali,Medical Conditions
Point to which ones. Asthma Pneumonia Hypertension Hyperlipidemia Diabetes Heart problems Kidney problems,আঙ্গুল দিয়ে দেখান কোনটা। হাঁপানি/অ্যাজমা নিউমোনিয়া ব্লাড প্রেসার কল্সেটেরোল সুগার হার্টের সমস্যা কিডনির সমস্যা,Bengali,Medical Conditions
Do you have a drug allergy?,আপনার কি কোনো ওষুধের অ্যালার্জি আছে?,Bengali,Medical Conditions
"Do you smoke? If yes, how many cigarettes a day?","আপনি কি ধুমপান করেন? করে থাকলে, এক দিনে আপনার কয়টা সিগারেট শেষ হয়?",Bengali,Medical Conditions
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?","আপনি কি মাঝেমাঝে মদ্য পান করেন? তাহলে সপ্তাহে কতটুকু খান, কি ধরনের মদ, সম্ভব হলে ইংরেজীতে বলেন ।",Bengali,Medical Conditions
How do you feel emotionally?(Use thumbs up and down),আপনার মনের অবস্থা কেমন?,Bengali,Medical Conditions
Do you have suicidal thoughts?,আপনার কি আত্মহত্যার চিন্তা মাথায় আসে?,Bengali,Medical Conditions
"If you have any other problems, you can tell me in English.",আপনার অন্য কোনো সমস্যা থাকলে আমাকে ইংরেজীতে বলুন।,Bengali,Medical Instructions
I’m going to examine you.Tell me if you feel more pain.Please remove your shirt.,আমি এখন আপনাকে পরীক্ষা করবো।বেশি ব্যথা পেলে বলবেন।আপনার সার্টটা খুলেন।,Bengali,Medical Instructions
Keep taking deep breaths through your mouth.,মুখ দিয়ে বড় শ্বাস নিতে থাকেন।,Bengali,Medical Instructions
"Say ""99"" when I listen with my stethoscope.","স্টেথো যখনই বুকে দিব তখন “৯, ৯” বলবেন।",Bengali,Medical Instructions
