Text,Translation,Language,Category
I am a doctor. I do not speak your language. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,Saya adalah seorang dokter. Saya tidak bisa berbicara dalam bahasa Indonesia. Saya akan berkomunikasi dengan anda menggunakan website ini. Tolong jawab saya dalam bahasa Inggris sebanyak mungkin sebisa anda. Terima kasih.,Bahasa Indonesia / Bahasa Indonesia,Greetings
What's your name?,Siapa nama anda?,Bahasa Indonesia / Bahasa Indonesia,Greetings
Please give me your Work Permit,Tolong berikan saya Work Permit atau izin bekerja anda,Bahasa Indonesia / Bahasa Indonesia,Greetings
"In the last 14 days, did you meet anyone who has coronavirus?","Dalam 14 hari terakhir, apakah anda bertemu dengan seseorang yang terjangkit coronavirus?",Bahasa Indonesia / Bahasa Indonesia,Contact with Others
Who? What is your relationship with them?,Siapa namanya? Apa hubungan anda dengan orang tersebut?,Bahasa Indonesia / Bahasa Indonesia,Contact with Others
How many days ago did you meet them?,Berapa hari lalu anda bertemu dengan orang tersebut?,Bahasa Indonesia / Bahasa Indonesia,Contact with Others
How long were you with him/her?,Berapa lama anda bertemu dengan orang tersebut?,Bahasa Indonesia / Bahasa Indonesia,Contact with Others
"In the last 14 days, did you travel out of Singapore? If yes, tell us the countries in English.","Dalam 14 hari terakhir, apakah anda bepergian keluar dari Singapura? Jika ya, sebutkan nama-nama negaranya dalam bahasa Inggris.",Bahasa Indonesia / Bahasa Indonesia,Contact with Others
Do you have a fever?,Apakah anda demam?,Bahasa Indonesia / Bahasa Indonesia,Symptoms
"How many days?
(You may use this for multiple symptoms)",Berapa hari?,Bahasa Indonesia / Bahasa Indonesia,Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?","Apakah anda mengukur suhu badan dengan termometer? Jika ya, berapa suhu badan tertinggi anda?",Bahasa Indonesia / Bahasa Indonesia,Symptoms
Runny nose?,Pilek?,Bahasa Indonesia / Bahasa Indonesia,Symptoms
Cough?,Batuk?,Bahasa Indonesia / Bahasa Indonesia,Symptoms
Sore throat?,Sakit tenggorokan?,Bahasa Indonesia / Bahasa Indonesia,Symptoms
Difficulty breathing?,Kesulitan bernafas?,Bahasa Indonesia / Bahasa Indonesia,Symptoms
Do you have diarrhoea? How many times a day?,Apakah anda diare? Berapa kali anda buang air dalam satu hari?,Bahasa Indonesia / Bahasa Indonesia,Symptoms
Rash?,Apakah ada ruam atau bercak kemerahan di kulit anda?,Bahasa Indonesia / Bahasa Indonesia,Symptoms
"Any pain? Specifically, any chest pain?",Ada bagian tubuh yang terasa sakit atau nyeri? Apakah ada rasa sakit di dada?,Bahasa Indonesia / Bahasa Indonesia,Symptoms
Point to the place.,Tunjuk bagiannya.,Bahasa Indonesia / Bahasa Indonesia,Symptoms
Do you have any past medical history?,Apakah anda memiliki riwayat penyakit?,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
Please point to which ones.,Tunjuk yang mana saja,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
Asthma,Asma,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
Pneumonia,Radang paru-paru,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
Hypertension,Darah tinggi,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
Hyperlipidemia,Lemak berlebih dalam darah atau kolesterol,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
Diabetes,Diabetes / kencing manis,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
Heart problems,Masalah jantung,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
Kidney problems,Masalah ginjal,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
Loss of taste,Tidak bisa mengecap atau merasakan rasa di lidah,Bahasa Indonesia / Bahasa Indonesia,Symptoms
Lost of Smell,Tidak bisa mencium bau?,Bahasa Indonesia / Bahasa Indonesia,Symptoms
Do you have a drug allergy?,Apakah anda memiliki alergi obat?,Bahasa Indonesia / Bahasa Indonesia,Medical Conditions
